Name,Award,Field,State/Country,Year
Smt. Rattan Shastri,Padma Shri,Literature and Education,Rajasthan,1955
Smt. Zarina Currimbhoy,Padma Shri,Social Work,Maharashtra,1955
Shri Chandulal Madhavlal Trivedi,Padma Vibhushan,Public Affairs,Madhya Pradesh,1956
Shri Saiyid Fazl Ali,Padma Vibhushan,Public Affairs,Bihar,1956
Smt. Jankibai Bajaj,Padma Vibhushan,Social Work,Madhya Pradesh,1956
Bhai Vir Singh,Padma Bhushan,Literature and Education,Punjab,1956
Dr. Muthulakshmi Reddi,Padma Bhushan,Medicine,Tamil Nadu,1956
Dr. Tiruvadi Sambasiva Venkatraman,Padma Bhushan,Science and Engineering,Tamil Nadu,1956
Shri Cottari Kanakaiyah Nayudu,Padma Bhushan,Sports,Tamil Nadu,1956
Shri Dhyan Chand,Padma Bhushan,Sports,Punjab,1956
Shri Kanwar Sain,Padma Bhushan,Civil Service,Rajasthan,1956
Shri Kasturi Srinivasan,Padma Bhushan,Literature and Education,Tamil Nadu,1956
Shri Malur Srinivasa Thirumale Iyengar,Padma Bhushan,Civil Service,Tamil Nadu,1956
Shri Nawab Zain Yar Jung,Padma Bhushan,Public Affairs,Telangana,1956
Shri Rajshekhar Bose,Padma Bhushan,Literature and Education,West Bengal,1956
Smt. Mahadevi Varma,Padma Bhushan,Literature and Education,Uttar Pradesh,1956
Smt. Pushpavati Janardanrai Mehta,Padma Bhushan,Public Affairs,Maharashtra,1956
Smt. Rukmini Devi Arundale,Padma Bhushan,Art,Tamil Nadu,1956
Dr. Chintaman Govind Pandit,Padma Shri,Medicine,Gujarat,1956
Dr. Isaac Santra,Padma Shri,Medicine,West Bengal,1956
Dr. M.C. Modi,Padma Shri,Medicine,Karnataka,1956
Dr. Mohan Lal,Padma Shri,Medicine,Uttar Pradesh,1956
Dr. Sohan Singh,Padma Shri,Medicine,Punjab,1956
Dr. Suryya Kumar Bhuyan,Padma Shri,Literature and Education,Rajasthan,1956
Shri Satish Chandra Majumdar,Padma Shri,Science and Engineering,West Bengal,1956
Shri Sthanam Narasimha Rao,Padma Shri,Art,Andhra Pradesh,1956
Shri Sukhdev Pande,Padma Shri,Literature and Education,Uttarakhand,1956
Shri Govind Ballabh Pant,Bharat Ratna,Public Affairs,Uttar Pradesh,1957
Shri Ghanshyamdas Birla,Padma Vibhushan,Trade and Industry,Rajasthan,1957
Shri Motilal Chimanlal Setalvad,Padma Vibhushan,Public Affairs,Maharashtra,1957
Shri Sri Prakasa,Padma Vibhushan,Public Affairs,Andhra Pradesh,1957
Dr. Abid Husain,Padma Bhushan,Literature and Education,Uttar Pradesh,1957
Dr. Bhikham Lal Atreya,Padma Bhushan,Literature and Education,Uttar Pradesh,1957
Dr. Hazari Prasad Dwivedi,Padma Bhushan,Literature and Education,Uttar Pradesh,1957
Dr. K. Covilagam Kutti Ettan Raja,Padma Bhushan,Civil Service,Kerala,1957
Dr. Radha Kumud Mookerji,Padma Bhushan,Public Affairs,West Bengal,1957
Dr. Rm. Alagappa Chettiar,Padma Bhushan,Social Work,Tamil Nadu,1957
Dr. Siddheshwar Varma,Padma Bhushan,Literature and Education,Chandigarh,1957
Pt. Shrikrishna N. Ratanjankar,Padma Bhushan,Art,Uttar Pradesh,1957
Shri Boshi Sen,Padma Bhushan,Science and Engineering,West Bengal,1957
