Name,Award,Field,State/Country,Year
Shri Sukumar Bose,Padma Shri,Art,Delhi,1970
Shri Syed Mohd. Moinul Haq,Padma Shri,Sports,Bihar,1970
Shri T.R. Mahalingam,Padma Shri,Art,Tamil Nadu,1970
Shri V. Satyanarayana Sarma,Padma Shri,Art,Andhra Pradesh,1970
Shri Vijaya Raghava Rao,Padma Shri,Art,West Bengal,1970
Shri Weer Rajendra Rishi,Padma Shri,Literature and Education,Punjab,1970
Smt. Alice Wilma Khan,Padma Shri,Social Work,Switzerland,1970
Smt. Damayanti Joshi,Padma Shri,Art,Maharashtra,1970
Smt. Indumatiben Chimanlal Sheth,Padma Shri,Social Work,Gujarat,1970
Smt. Kodumudi Balambal Sundarambal,Padma Shri,Art,Tamil Nadu,1970
Smt. Maniben Kara,Padma Shri,Social Work,Maharashtra,1970
Smt. Ratna Fabri,Padma Shri,Art,Rajasthan,1970
Syed Masud Hasan Rizvi,Padma Shri,Literature and Education,Uttar Pradesh,1970
Smt. Indira Gandhi,Bharat Ratna,Public Affairs,Uttar Pradesh,1971
Dr. Vithalrao Nagesh Shirodkar,Padma Vibhushan,Medicine,Goa,1971
Shri Balram Sivaraman,Padma Vibhushan,Civil Service,Tamil Nadu,1971
Shri Bimal Prasad Chaliha,Padma Vibhushan,Civil Service,Assam,1971
Shri Uday Shankar,Padma Vibhushan,Art,Maharashtra,1971
Smt. Sumati Morarjee,Padma Vibhushan,Civil Service,Maharashtra,1971
Ustad Allauddin Khan,Padma Vibhushan,Art,West Bengal,1971
Dr. Bishnupada Mukhopadhyaya,Padma Bhushan,Medicine,Bihar,1971
Dr. Madan Mohan Singh,Padma Bhushan,Medicine,Delhi,1971
Dr. Pandurang Vasudeva Sakharam,Padma Bhushan,Science and Engineering,Italy,1971
Dr. Santosh Kumar Mukerji,Padma Bhushan,Medicine,Madhya Pradesh,1971
Dr. Satish Dhawan,Padma Bhushan,Science and Engineering,Karnataka,1971
Dr. Shantilal Jamnadas Mehta,Padma Bhushan,Medicine,Maharashtra,1971
Dr. Veni Shankar Jha,Padma Bhushan,Literature and Education,Madhya Pradesh,1971
Dr. Vulimiri Ramalingaswami,Padma Bhushan,Medicine,Tamil Nadu,1971
Prof. Pichu Sambamoorthi,Padma Bhushan,Art,Tamil Nadu,1971
Shri A. Vithal Alias Dhananjay Keer,Padma Bhushan,Literature and Education,Maharashtra,1971
Shri Amir Khan,Padma Bhushan,Art,Maharashtra,1971
Shri Bhagwati Charan Verma,Padma Bhushan,Literature and Education,Uttar Pradesh,1971
Shri Bhalchandra Digambar Garware,Padma Bhushan,Trade and Industry,Maharashtra,1971
Shri Devchand Chhaganlal Shah,Padma Bhushan,Social Work,Maharashtra,1971
Shri Gokulbhai Daulatram Bhatt,Padma Bhushan,Social Work,Rajasthan,1971
Shri J. Bhudhardas Bhojak,Padma Bhushan,Art,Gujarat,1971
Shri Jainendra Kumar Jain,Padma Bhushan,Literature and Education,Delhi,1971
Shri Jaishankar Sundari,Padma Bhushan,Art,Gujarat,1971
Shri Jogesh Chandra De,Padma Bhushan,Trade and Industry,West Bengal,1971
Shri Kalindi Charan Panigrahi,Padma Bhushan,Literature and Education,Odisha,1971
Shri Kandathil Mammon Cherian,Padma Bhushan,Literature and Education,Kerala,1971
Shri Kasturi Lal Vij,Padma Bhushan,Civil Service,Delhi,1971
Shri Kedar Nath Mookerjee,Padma Bhushan,Trade and Industry,West Bengal,1971
Shri Krishnarao Phulambrikar,Padma Bhushan,Art,Maharashtra,1971
Shri Mangtu Ram Jaipuria,Padma Bhushan,Social Work,Delhi,1971
Shri Manibhai J. Patel,Padma Bhushan,Trade and Industry,Madhya Pradesh,1971
Shri Monindra Nath Chakravarti,Padma Bhushan,Civil Service,West Bengal,1971
Shri Musiri Subramania Iyer,Padma Bhushan,Art,Tamil Nadu,1971
Shri N. Ramaswami Ayyar,Padma Bhushan,Social Work,Tamil Nadu,1971
Shri Namakkal Venkatarama Ramalingam Pillai,Padma Bhushan,Literature and Education,Tamil Nadu,1971
Shri Nisar Husain Khan,Padma Bhushan,Art,Uttar Pradesh,1971
Shri P Tiruvillvamalai Seshan M. Iyer,Padma Bhushan,Art,Tamil Nadu,1971
Shri P. Kalathil Kunju Kurup,Padma Bhushan,Art,Kerala,1971
Shri Parmeshwari Lal Verma,Padma Bhushan,Civil Service,Chandigarh,1971
Shri Raj Kapoor,Padma Bhushan,Art,Punjab,1971
Shri Ramrao Madhaorao Deshmukh,Padma Bhushan,Trade and Industry,Maharashtra,1971
Shri Rasipuram Krishnaswami Laxman,Padma Bhushan,Art,Maharashtra,1971
Shri Suraj Bhan,Padma Bhushan,Literature and Education,Chandigarh,1971
Shri Suresh Chandra Roy,Padma Bhushan,Trade and Industry,West Bengal,1971
Shri Ved Rattan Mohan,Padma Bhushan,Trade and Industry,Uttar Pradesh,1971
Smt. Damal Krishnaswami Pattamal,Padma Bhushan,Art,Tamil Nadu,1971
Smt. Gangubai Hanagal,Padma Bhushan,Art,Karnataka,1971
Bhai Mohan Singh,Padma Shri,Public Affairs,Delhi,1971
Dr. Basapatna Narayana Blkrishna Rao,Padma Shri,Medicine,Karnataka,1971
Dr. Coorg Narasimhaiengar Krishna Murthy,Padma Shri,Trade and Industry,Uttar Pradesh,1971
Dr. Harbhajan Singh,Padma Shri,Science and Engineering,Delhi,1971
Dr. Hari Mohan,Padma Shri,Medicine,Delhi,1971
Dr. Krishnaswami Srinivasa Sanjivi,Padma Shri,Medicine,Tamil Nadu,1971
Dr. Moti Lal Dhar,Padma Shri,Science and Engineering,Uttar Pradesh,1971
Dr. Robin Banerjee,Padma Shri,Social Work,Assam,1971
Dr. Sadashiv Misra,Padma Shri,Civil Service,Odisha,1971
Dr. Sishta Venkata Seetharama Shastry,Padma Shri,Science and Engineering,Telangana,1971
Dr. Sundaram Krishnamurti,Padma Shri,Medicine,Tamil Nadu,1971
Dr. Yelavarthy Nayudamma,Padma Shri,Trade and Industry,Tamil Nadu,1971
Dr. Yudhvir Singh,Padma Shri,Social Work,Rajasthan,1971
Kum. Kamaljit Sandhu,Padma Shri,Sports,USA,1971
Kum. Subhashni Jhunnu Dasgupta,Padma Shri,Civil Service,Delhi,1971
Lt. Col. Suresh Chandra Dutta,Padma Shri,Medicine,West Bengal,1971
Miss Grace Mary Linnell,Padma Shri,Literature and Education,United Kingdom,1971
Prof. Devendra Lal,Padma Shri,Science and Engineering,Gujarat,1971
Prof. Ratan Shankar Mishra,Padma Shri,Literature and Education,Uttar Pradesh,1971
Pt. Siyaram Tiwari,Padma Shri,Art,Bihar,1971
Rani Lila Ramkumar Bhargava,Padma Shri,Social Work,Uttar Pradesh,1971
Rev. Mother Theodosia,Padma Shri,Literature and Education,Karnataka,1971
Shri Abdul Haye alias Sahir Ludhianvi,Padma Shri,Literature and Education,Punjab,1971
Shri Amiya Bhusan Das Gupta,Padma Shri,Civil Service,Delhi,1971
Shri Anand Raj Surana,Padma Shri,Social Work,Delhi,1971
Shri Atma Ram Bhatt,Padma Shri,Literature and Education,Maharashtra,1971
Shri Atul Chandra Hazarika,Padma Shri,Literature and Education,Assam,1971
Shri Chandgi Ram,Padma Shri,Sports,Delhi,1971
Shri Chandi Prasad Misra,Padma Shri,Medicine,Delhi,1971
Shri Chengannur Raman Pillai,Padma Shri,Art,Kerala,1971
Shri Chinganbam Kalachand Shastri,Padma Shri,Literature and Education,Manipur,1971
Shri Debi Sahai Jindal,Padma Shri,Trade and Industry,Delhi,1971
Shri Devan Venkata Reddi,Padma Shri,Trade and Industry,Andhra Pradesh,1971
Shri Ghaus Mohamed,Padma Shri,Sports,Andhra Pradesh,1971
Shri Ghulam Rabbani Taban,Padma Shri,Literature and Education,Delhi,1971
Shri Gundappa Ranganath Viswanath,Padma Shri,Sports,Karnataka,1971
Shri Hari Dev Shourie,Padma Shri,Trade and Industry,Delhi,1971
Shri Harnam Dass Wahi,Padma Shri,Trade and Industry,Delhi,1971
Shri K. Natesa Dhandayuthapani Pillai,Padma Shri,Art,Tamil Nadu,1971
Shri K. Venkataswami Naidu,Padma Shri,Social Work,Tamil Nadu,1971
Shri Khailshankar Durlabhji,Padma Shri,Trade and Industry,Rajasthan,1971
Shri Kothamanglam Subbu,Padma Shri,Literature and Education,Tamil Nadu,1971
Shri Krishna Swarup Pathak,Padma Shri,Civil Service,Punjab,1971
Shri Labhu Ram Josh Malsiani,Padma Shri,Literature and Education,Punjab,1971
Shri Leslie Claudius,Padma Shri,Sports,West Bengal,1971
Shri M. Devidas Alias Baba Amte,Padma Shri,Social Work,Maharashtra,1971
Shri Mangalampalli Balamurali Krishna,Padma Shri,Art,Tamil Nadu,1971
Shri Manna Dey,Padma Shri,Art,Maharashtra,1971
Shri Maqbool Ahmed Lari,Padma Shri,Literature and Education,Uttar Pradesh,1971
Shri NULL Jagmohan,Padma Shri,Civil Service,Punjab,1971
Shri Narayan Gopal Thakar,Padma Shri,Literature and Education,Maharashtra,1971
Shri Nirmal Chandra Sinha,Padma Shri,Literature and Education,Delhi,1971
Shri Palanindy Kandaswamy,Padma Shri,Civil Service,Tamil Nadu,1971
Shri Pandurang Dharmaji Jadhav,Padma Shri,Social Work,Maharashtra,1971
Shri Prabhashankar Ramachandra Bhatt,Padma Shri,Social Work,Maharashtra,1971
Shri Pramatha Nath Bishi,Padma Shri,Literature and Education,West Bengal,1971
Shri Prem Nath Sahni,Padma Shri,Trade and Industry,Punjab,1971
Shri Qadri Ragi Aziz Ahmed Khan Warsi,Padma Shri,Art,Andhra Pradesh,1971
Shri Ram Lal Mehta,Padma Shri,Public Affairs,Delhi,1971
Shri Ramanatha Iyer Mathrubbotham,Padma Shri,Public Affairs,Tamil Nadu,1971
Shri Ravi Shankar Sharma,Padma Shri,Art,Maharashtra,1971
Shri S.G. Mahalingayyar Subramaniam,Padma Shri,Literature and Education,Tamil Nadu,1971
Shri Sachchidanand Keshav Nargundkar,Padma Shri,Civil Service,Bihar,1971
Shri Sailendra Nath Manna,Padma Shri,Sports,West Bengal,1971
Shri Sankho Chaudhuri,Padma Shri,Art,Delhi,1971
Shri Subrahmanya Paramanandan,Padma Shri,Civil Service,Delhi,1971
Shri Sudhansu Kumar Chakravarty,Padma Shri,Civil Service,Bihar,1971
Shri Sukharam Abaji Patil,Padma Shri,Social Work,Maharashtra,1971
Shri Suresh Singh,Padma Shri,Literature and Education,Uttar Pradesh,1971
Shri Surya Deo Singh,Padma Shri,Social Work,Rajasthan,1971
Shri Syed Mohd. Mirza Mohazzab,Padma Shri,Literature and Education,Uttar Pradesh,1971
Shri Tiruvadi Venkataraman Ramamurti,Padma Shri,Science and Engineering,Delhi,1971
Shri Trivandrum Kandaswami Pillai Shanmugam,Padma Shri,Art,Tamil Nadu,1971
Shri Udaybhansinhji Natwarsinhji Jethwa,Padma Shri,Trade and Industry,Gujarat,1971
Shri V. Kunchu Nair,Padma Shri,Art,Kerala,1971
Shri Vaidyanatha Vaidyasubramanya Iyer,Padma Shri,Social Work,Tamil Nadu,1971
Shri Zafar Futehally,Padma Shri,Science and Engineering,Maharashtra,1971
Smt. Adya Jha,Padma Shri,Social Work,Delhi,1971
Smt. Avabai Bomanji Wadia,Padma Shri,Social Work,Maharashtra,1971
Smt. NULL Savitabehen,Padma Shri,Social Work,Delhi,1971
Smt. Shantha Rao,Padma Shri,Art,Karnataka,1971
Smt. Sheila Bhatia,Padma Shri,Literature and Education,Delhi,1971
Smt. Sulabha Panandikar,Padma Shri,Literature and Education,Maharashtra,1971
Smt. Tripti Mitra,Padma Shri,Art,West Bengal,1971
Admiral Sardarilal Mathradas Nanda,Padma Vibhushan,Civil Service,Delhi,1972
Air Chief Marshal Pratap Chandra Lal,Padma Vibhushan,Civil Service,Punjab,1972
Dr. Aditya Nath Jha,Padma Vibhushan,Public Affairs,Uttar Pradesh,1972
Dr. Jivraj N. Mehta,Padma Vibhushan,Public Affairs,Maharashtra,1972
Dr. P. Balacharya Gajendragadkar,Padma Vibhushan,Public Affairs,Maharashtra,1972
Dr. Vikram Ambalal Sarabhai,Padma Vibhushan,Science and Engineering,Gujarat,1972
Gen. S.H.F. Jamshedji Manekshaw,Padma Vibhushan,Civil Service,Tamil Nadu,1972
Shri Ghulam Mohd. Sadiq,Padma Vibhushan,Public Affairs,Jammu & Kashmir,1972
Shri Hormusji Maneckji Seervai,Padma Vibhushan,Literature and Education,Maharashtra,1972
Air Mar. H.C. Dewan,Padma Bhushan,Civil Service,Punjab,1972
Air Mar. M.M. Engineer,Padma Bhushan,Civil Service,Gujarat,1972
Dr. Bal Dattatriya Tilak,Padma Bhushan,Science and Engineering,Maharashtra,1972
Dr. Baldev Singh,Padma Bhushan,Medicine,Delhi,1972
Dr. Bhalchandra Nilkanth Purandare,Padma Bhushan,Medicine,Maharashtra,1972
Dr. Bharat Ram,Padma Bhushan,Trade and Industry,Delhi,1972
Dr. Jai Krishna,Padma Bhushan,Civil Service,Uttar Pradesh,1972
Dr. Lakhumal Hiranand Hiranandani,Padma Bhushan,Medicine,Maharashtra,1972
Dr. M.S. Swaminathan,Padma Bhushan,Science and Engineering,Tamil Nadu,1972
Dr. Mohinder Singh Randhawa,Padma Bhushan,Science and Engineering,Punjab,1972
Dr. Pran Nath Chhutani,Padma Bhushan,Literature and Education,Chandigarh,1972
Dr. Shantilal C. Sheth,Padma Bhushan,Medicine,Maharashtra,1972
Dr. Sujoy Bhushan Roy,Padma Bhushan,Medicine,West Bengal,1972
Dr. Syed Husain Zaheer,Padma Bhushan,Trade and Industry,Andhra Pradesh,1972
Lt. Gen Jagjit Singh Aurora,Padma Bhushan,Civil Service,Delhi,1972
Lt. Gen P. Kunhiraman Candeth,Padma Bhushan,Civil Service,Delhi,1972
Lt. Gen. Khem Karan Singh,Padma Bhushan,Civil Service,Punjab,1972
Lt. Gen. Sagat Singh,Padma Bhushan,Civil Service,Punjab,1972
Lt. Gen. Sartaj Singh,Padma Bhushan,Civil Service,Punjab,1972
Lt.Gen. Gopal G. Bewoor,Padma Bhushan,Civil Service,Karnataka,1972
Lt.Gen. T.N. Raina,Padma Bhushan,Civil Service,Jammu & Kashmir,1972
Major Genl. Inderjit Singh Gill,Padma Bhushan,Civil Service,Maharashtra,1972
Pandit Vinayakrao Patwardhan,Padma Bhushan,Art,Maharashtra,1972
Prof. Dattatraya Yeshwant Phadke,Padma Bhushan,Science and Engineering,Maharashtra,1972
Prof. Krishnaswami Swaminathan,Padma Bhushan,Literature and Education,Delhi,1972
Prof. L.A.Krishna Iyer,Padma Bhushan,Science and Engineering,Kerala,1972
Prof. Ram Narayan Chakravarti,Padma Bhushan,Science and Engineering,West Bengal,1972
Shri Adya Rangacharya,Padma Bhushan,Literature and Education,Karnataka,1972
Shri Amrut V. Mody,Padma Bhushan,Civil Service,Maharashtra,1972
Shri Ashwini Kumar,Padma Bhushan,Civil Service,Punjab,1972
Shri Ayyagiri Sambasiva Rao,Padma Bhushan,Science and Engineering,Andhra Pradesh,1972
Shri B.N. Sircar,Padma Bhushan,Art,Bihar,1972
Shri Benoy Bhushan Ghosh,Padma Bhushan,Civil Service,West Bengal,1972
Shri Chandrika Prasad Srivastava,Padma Bhushan,Civil Service,United Kingdom,1972
Shri Kayalath Pothen Philip,Padma Bhushan,Literature and Education,Maharashtra,1972
Shri Khusro Framurz Rustamji,Padma Bhushan,Civil Service,Madhya Pradesh,1972
Shri Madhavrao Khandarao Bagal,Padma Bhushan,Social Work,Maharashtra,1972
Shri Maheshwar Dayal,Padma Bhushan,Social Work,Delhi,1972
Shri Mandagere Bharadwaj  Ramachandra Rao,Padma Bhushan,Science and Engineering,Delhi,1972
Shri Mohd. Hayath,Padma Bhushan,Civil Service,Karnataka,1972
Shri N.G. Krishna Murti,Padma Bhushan,Civil Service,Delhi,1972
Shri Papanasam Sivan,Padma Bhushan,Art,Tamil Nadu,1972
Shri Pran Nath Luthra,Padma Bhushan,Civil Service,Punjab,1972
Shri S. S. Sahi,Padma Bhushan,Civil Service,Chandigarh,1972
Shri Surinder Singh Bedi,Padma Bhushan,Civil Service,Delhi,1972
Shri T.A. Pai,Padma Bhushan,Civil Service,Karnataka,1972
Smt. Gulestan Rustom Billimoria,Padma Bhushan,Social Work,Maharashtra,1972
Smt. Yashodhara Dasappa,Padma Bhushan,Social Work,Karnataka,1972
Vice Adm. Nilkanta Krishnan,Padma Bhushan,Civil Service,Tamil Nadu,1972
Vice Adm. Sourendra Nath Kohli,Padma Bhushan,Civil Service,Punjab,1972
Brig. Harish Chandra,Padma Shri,Civil Service,Delhi,1972
Dr. (Miss) Mary Puthusseril Varghese,Padma Shri,Medicine,Tamil Nadu,1972
Dr. (Mrs.) Dorothy Dunning Chacko,Padma Shri,Medicine,Delhi,1972
Dr. (Mrs.) Sant Kaur,Padma Shri,Medicine,Chandigarh,1972
Dr. (Smt.) Vatsala Samant Choudhry,Padma Shri,Medicine,Uttar Pradesh,1972
Dr. Amiya Bhushon Kar,Padma Shri,Medicine,West Bengal,1972
Dr. Balu Sankaran,Padma Shri,Medicine,Switzerland,1972
Dr. Dattatraya Nagappa Pai,Padma Shri,Medicine,Maharashtra,1972
Dr. G. Subbukrishna Melkote,Padma Shri,Public Affairs,Odisha,1972
Dr. Gubbi Hampanna Veeranna,Padma Shri,Art,Karnataka,1972
Dr. K. Kirpal Singh,Padma Shri,Science and Engineering,Punjab,1972
Dr. Katil Narasimha Udupa,Padma Shri,Medicine,Uttar Pradesh,1972
Dr. Prithvi Nath Khoshoo,Padma Shri,Medicine,Uttar Pradesh,1972
Dr. Ravivarma Marthanda Varma,Padma Shri,Medicine,Karnataka,1972
Dr. Syam Nandan Prasad Kishore,Padma Shri,Literature and Education,Bihar,1972
Dr. Thayil John Cherian,Padma Shri,Medicine,Tamil Nadu,1972
Dr. Virendra Verma,Padma Shri,Literature and Education,Uttar Pradesh,1972
Dr.(Miss) Leela Vinayak Phatak,Padma Shri,Civil Service,Delhi,1972
Kum. Waheeda Rahman,Padma Shri,Art,Maharashtra,1972
Major Harsh Vardhan Bahuguna,Padma Shri,Sports,Uttar Pradesh,1972
Prof. Balasubramaniam Ramamurthi,Padma Shri,Medicine,Tamil Nadu,1972
Prof. Pran Nath Mehra,Padma Shri,Science and Engineering,Chandigarh,1972
Shri Ajit Laxman Wadekar,Padma Shri,Sports,Maharashtra,1972
Shri B. Subramanya Chandrasekhar,Padma Shri,Sports,Karnataka,1972
Shri Badri Prasad Bajoria,Padma Shri,Social Work,Uttar Pradesh,1972
Shri Bhawani Prasad Tiwari,Padma Shri,Literature and Education,Madhya Pradesh,1972
Shri Bhimsen Gururaj Joshi,Padma Shri,Art,Maharashtra,1972
Shri Bhuwan Chand Pande,Padma Shri,Civil Service,Uttar Pradesh,1972
Shri Brijbir Saran Das,Padma Shri,Civil Service,Delhi,1972
Shri Chandra Shekhar Samal,Padma Shri,Civil Service,West Bengal,1972
Shri Charles M. Correa,Padma Shri,Science and Engineering,Maharashtra,1972
Shri Debdulal Bandopadhyay,Padma Shri,Civil Service,West Bengal,1972
Shri Dharam Vir Bharati,Padma Shri,Literature and Education,Maharashtra,1972
Shri Hari Prasad Jaiswal,Padma Shri,Civil Service,Karnataka,1972
Shri Himangshu Mohan Choudhury,Padma Shri,Civil Service,Uttar Pradesh,1972
Shri Homi Cawas Sethna,Padma Shri,Civil Service,Maharashtra,1972
Shri Hrishikesh Mukherji,Padma Shri,Art,Maharashtra,1972
Shri Ishwar Chander Gupta,Padma Shri,Civil Service,Chandigarh,1972
Shri Iyyanki Venkata Ramanayya,Padma Shri,Social Work,Andhra Pradesh,1972
Shri Jagan Nath Krishan Kate,Padma Shri,Literature and Education,Madhya Pradesh,1972
Shri Jagdish Lal,Padma Shri,Civil Service,Punjab,1972
Shri K.C. Sengupta,Padma Shri,Civil Service,West Bengal,1972
Shri Kamal Kanti Naskar,Padma Shri,Civil Service,West Bengal,1972
Shri Karachur Lingappa Nanjappa,Padma Shri,Civil Service,Delhi,1972
Shri Krishna Reddy,Padma Shri,Art,France,1972
Shri Lalgudi Gopalaiyer Jayaraman,Padma Shri,Art,Tamil Nadu,1972
Shri Madras Kandaswamy Radha,Padma Shri,Art,Tamil Nadu,1972
Shri Mahendra Kapoor,Padma Shri,Art,Maharashtra,1972
Shri Mohan Mull Chordia,Padma Shri,Trade and Industry,Tamil Nadu,1972
Shri Moreshwar Mangesh Wagle,Padma Shri,Civil Service,Maharashtra,1972
Shri Mylai Ponnuswamy Sivagnanam,Padma Shri,Literature and Education,Tamil Nadu,1972
Shri NULL Chiranjit,Padma Shri,Art,Delhi,1972
Shri Om Prakash Bahl,Padma Shri,Civil Service,Punjab,1972
Shri P Ramanathan Rajgopal,Padma Shri,Civil Service,Tamil Nadu,1972
Shri Palhalli Sitaramiah,Padma Shri,Social Work,Karnataka,1972
Shri Phool Chand Chowdhary,Padma Shri,Literature and Education,Delhi,1972
Shri Prabhu Dayal Dabriwala,Padma Shri,Social Work,West Bengal,1972
Shri Pradip Kumar Banerjee,Padma Shri,Civil Service,West Bengal,1972
Shri Puran Lal Batra,Padma Shri,Science and Engineering,Haryana,1972
Shri Puttaparthi Narayanacharya,Padma Shri,Literature and Education,Andhra Pradesh,1972
Shri Raghu Rai,Padma Shri,Art,Delhi,1972
Shri Rajinder Singh,Padma Shri,Civil Service,Punjab,1972
Shri Rajindra Singh Bedi,Padma Shri,Literature and Education,Maharashtra,1972
Shri Ram Kumar,Padma Shri,Art,Delhi,1972
Shri Ramamurthi Badrinath,Padma Shri,Civil Service,Delhi,1972
Shri Samta Prasad,Padma Shri,Art,Uttar Pradesh,1972
Shri Shalil Ghosh,Padma Shri,Literature and Education,Maharashtra,1972
Shri Sheikh Gulab,Padma Shri,Civil Service,Madhya Pradesh,1972
Shri Sudhindra @ Badal Sircar Sircar,Padma Shri,Literature and Education,West Bengal,1972
Shri Sukhbir Singh,Padma Shri,Civil Service,Chandigarh,1972
Shri Sunil Janah,Padma Shri,Art,Delhi,1972
Shri Surendra Nath Banerjee,Padma Shri,Art,West Bengal,1972
Shri Surjit Singh Gujral,Padma Shri,Civil Service,Delhi,1972
Shri Swarn Singh Boparai,Padma Shri,Civil Service,Punjab,1972
Shri T.Amudon Sharma,Padma Shri,Art,Manipur,1972
Shri Vasudeo Santu Gaitonde,Padma Shri,Art,Maharashtra,1972
Shri Vazhuvoor B. Ramiah Pillai,Padma Shri,Art,Tamil Nadu,1972
Shri Ved Prakash Agnihotri,Padma Shri,Science and Engineering,Punjab,1972
Shri Vedakantara Subramania Krishnan,Padma Shri,Literature and Education,Madhya Pradesh,1972
Shri Vidya Nath Langer,Padma Shri,Literature and Education,Delhi,1972
Shri Vijay Singh,Padma Shri,Civil Service,Rajasthan,1972
Smt. Chandra Prava Saikiani,Padma Shri,Social Work,Assam,1972
Smt. Girija Devi,Padma Shri,Art,Uttar Pradesh,1972
Smt. Juthika Roy,Padma Shri,Art,West Bengal,1972
Smt. Kanta Saroop Krishen,Padma Shri,Social Work,Chandigarh,1972
Smt. NULL Mali,Padma Shri,Social Work,Jammu & Kashmir,1972
Smt. Savitri Indrajit Parekh,Padma Shri,Art,Gujarat,1972
Smt. Suchitra Sen,Padma Shri,Art,West Bengal,1972
Smt. Surrinder Bansidhar Gupta,Padma Shri,Social Work,Delhi,1972
Dr. Daulat Sinyh Kothari,Padma Vibhushan,Science and Engineering,Delhi,1973
Dr. Nagendra Singh,Padma Vibhushan,Public Affairs,Rajasthan,1973
Shri Thirumalraya Swaminathan,Padma Vibhushan,Civil Service,Tamil Nadu,1973
Shri U.N. Dhebar,Padma Vibhushan,Social Work,Gujarat,1973
Smt. Basanti Devi,Padma Vibhushan,Civil Service,West Bengal,1973
Smt. Nellie Sen Gupta,Padma Vibhushan,Social Work,West Bengal,1973
Dr. Om P. Bahl,Padma Bhushan,Science and Engineering,USA,1973
Dr. Raja M. Annamalai Muthiah Chettiar,Padma Bhushan,Trade and Industry,Tamil Nadu,1973
Dr. Raja Ramanna,Padma Bhushan,Science and Engineering,Tamil Nadu,1973
Shri Banarsi Dass Chaturvedi,Padma Bhushan,Literature and Education,Uttar Pradesh,1973
Shri C. Vaidyanatha Bhagavathar,Padma Bhushan,Art,Kerala,1973
Shri Harindranath Chattopadhyaya,Padma Bhushan,Literature and Education,Telangana,1973
Shri Krishna Rao Shankar Pandit,Padma Bhushan,Art,Madhya Pradesh,1973
Shri Kunjuraman Sukumaran,Padma Bhushan,Literature and Education,Kerala,1973
Shri Maqbool Fida Husain,Padma Bhushan,Art,Delhi,1973
Shri Naraindas Rattanmal Malkani,Padma Bhushan,Social Work,Rajasthan,1973
Shri Pitambar Pant,Padma Bhushan,Civil Service,Uttar Pradesh,1973
Shri Pothen Joseph,Padma Bhushan,Literature and Education,Kerala,1973
Shri Ramakant Maheshwar Muzumdar,Padma Bhushan,Civil Service,Karnataka,1973
Shri Sudhir Krishna Mukherjee,Padma Bhushan,Civil Service,West Bengal,1973
Shri Vennelakanti Raghavaiah,Padma Bhushan,Social Work,Andhra Pradesh,1973
Shri Vinoo Mankad,Padma Bhushan,Sports,Gujarat,1973
Smt. Gosasp Maneckji Sorabji Captain,Padma Bhushan,Social Work,Maharashtra,1973
Brig. Bhagwan Javharmal Shahaney,Padma Shri,Civil Service,Maharashtra,1973
Dr. Atm Prakash,Padma Shri,Medicine,Delhi,1973
Dr. Bhoi Bheemanna,Padma Shri,Literature and Education,Telangana,1973
Dr. Bhola Nath,Padma Shri,Medicine,Uttar Pradesh,1973
Dr. Govindappa Venkataswamy,Padma Shri,Medicine,Tamil Nadu,1973
Dr. Jagdish Mitra Pahwa,Padma Shri,Medicine,Uttar Pradesh,1973
Dr. Jamsaheb Nowroji Vazifdar,Padma Shri,Medicine,Maharashtra,1973
Dr. Kandarp Tulja Shankar Dholakia,Padma Shri,Medicine,Maharashtra,1973
Dr. Madampath Kalathil Krishna Menon,Padma Shri,Medicine,Tamil Nadu,1973
Dr. Maddali  Gopala Krishna,Padma Shri,Civil Service,Uttarakhand,1973
Dr. Mohamed Abdul Khader Malik Mohamed,Padma Shri,Literature and Education,Kerala,1973
Dr. N. Kesava Panikkar,Padma Shri,Science and Engineering,Tamil Nadu,1973
Dr. Nandlal Bordia,Padma Shri,Medicine,Madhya Pradesh,1973
Dr. Narendra Singh Jain,Padma Shri,Medicine,Delhi,1973
Dr. Prakash Narain Tandon,Padma Shri,Medicine,Delhi,1973
Dr. Ramchandra Kishandas Menda,Padma Shri,Medicine,Maharashtra,1973
Dr. Ramesh Nigam,Padma Shri,Medicine,Delhi,1973
Dr. Shridhar Upadhyay,Padma Shri,Civil Service,Uttarakhand,1973
Dr. Triloki Nath Sharma,Padma Shri,Civil Service,Uttar Pradesh,1973
Kum. Rohini Poovaiah,Padma Shri,Social Work,Karnataka,1973
Kum. Uma Sharma,Padma Shri,Art,Delhi,1973
Late Shri R.V. Ramaswamy,Padma Shri,Civil Service,Tamil Nadu,1973
Lt. Col. Koka Simhadri Babu,Padma Shri,Civil Service,Delhi,1973
Prof. Govind Swarup,Padma Shri,Science and Engineering,Karnataka,1973
Shri B.S. alias Balu Bhagvathar Sastrigal,Padma Shri,Art,Tamil Nadu,1973
Shri Balasubramanyan Ramadorai,Padma Shri,Civil Service,Delhi,1973
Shri Balwant Gargi,Padma Shri,Literature and Education,Chandigarh,1973
Shri Chellasami Sirchabai Murugabhupathy,Padma Shri,Art,Tamil Nadu,1973
Shri Chinnaswamy Rajan Subramanian,Padma Shri,Civil Service,Karnataka,1973
Shri Dalip Kumar Sengupta,Padma Shri,Civil Service,West Bengal,1973
Shri Debi Prasad Mukherji,Padma Shri,Civil Service,West Bengal,1973
Shri Farookh M. Engineer,Padma Shri,Sports,Maharashtra,1973
